team_id,school name,full school name,nickname,conference,place,reg
20366,Abilene Christian,Abilene Christian University,Wildcats,Southland Conference,"Abilene,Texas",TX
20367,Air Force,United States Air Force Academy,Falcons,Mountain West Conference,"Colorado Springs,Colorado",CO
20438,Akron,University of Akron,Zips,Mid-American Conference,"Akron,Ohio",OH
20048,Alabama,University of Alabama,Crimson Tide,Southeastern Conference,"Tuscaloosa,Alabama",AL
20770,Alabama A&M,Alabama A&M University,Bulldogs,Southwest Athletic Conference,"Huntsville,Alabama",AL
20368,Alabama State,Alabama State University,Hornets,Southwest Athletic Conference,"Montgomery,Alabama",AL
20439,Alabama-Birmingham,University of Alabama-Birmingham,Blazers,Conference USA,"Birmingham,Alabama",AL
20881,Albany,University at Albany,Great Danes,America East Conference,"Albany,New York",NY
20369,Alcorn State,Alcorn State University,Braves,Southwest Athletic Conference,"Lorman,Mississippi",MS
20370,Appalachian State,Appalachian State University,Mountaineers,Sun Belt Conference,"Boone,North Carolina",NC
20026,Arizona,University of Arizona,Wildcats,Pacific-12 Conference,"Tucson,Arizona",AZ
20021,Arizona State,Arizona State University,Sun Devils,Pacific-12 Conference,"Tempe,Arizona",AZ
20344,Arkansas,University of Arkansas,Razorbacks,Southeastern Conference,"Fayetteville,Arkansas",AR
20371,Arkansas State,Arkansas State University,Red Wolves,Sun Belt Conference,"Jonesboro,Arkansas",AR
20440,Arkansas-Pine Bluff,University of Arkansas-Pine Bluff,Golden Lions,Southwest Athletic Conference,"Pine Bluff,Arkansas",AR
21097,Army,US Military Academy,Black Knights,Patriot League,"West Point,New York",NY
20071,Auburn,Auburn University,Tigers,Southeastern Conference,"Auburn,Alabama",AL
20373,Austin Peay,Austin Peay State University,Governors,Ohio Valley Conference,"Clarksville,Tennessee",TN
20103,Ball State,Ball State University,Cardinals,Mid-American Conference,"Muncie,Indiana",IN
20287,Baylor,Baylor University,Bears,Big 12 Conference,"Waco,Texas",TX
20828,Belmont,Belmont University,Bruins,Ohio Valley Conference,"Nashville,Tennessee",TN
20374,Bethune-Cookman,Bethune–Cookman University,Wildcats,Southwest Athletic Conference,"Dayton Beach,Florida",FL
20886,Binghamton,Binghamton University,Bearcats,America East Conference,"Binghamton,New York",NY
20375,Boise State,Boise State University,Broncos,Mountain West Conference,"Boise, Idaho",ID
20291,Boston College,Boston College,Eagles,Atlantic Coast Conference,"Chestnut Hill,Massachusetts",MA
20280,Bowling Green,Bowling Green State University,Falcons,Mid-American Conference,"Bowling Green,Ohio",OH
20242,Bradley,Bradley University,Braves,Missouri Valley Conference,"Peoria,Illinois",IL
20361,Brown,Brown University,Bears,Ivy League,"Providence,Rhode Island",RI
21866,Bryant,Bryant University,Bulldogs,Northeast Conference,"Smithfield,Rhode Island",RI
20518,Bucknell,Bucknell University,Bisons,Patriot League,"Lewisburg,Pennsylvania",PA
20705,Butler,Butler University,Bulldogs,Big East Conference,"Indianapolis,Indiana",IN
20376,BYU,Brigham Young University,Cougars,West Coast Conference,"Provo,Utah",UT
20521,Cal Baptist,California Baptist University,Lancers,Western Athletic Conference,"Riverside,California",CA
20740,Cal Poly,Cal Poly,Mustangs,Big West Conference,"San Luis Obispo,California",CA
21135,Cal State Bakersfield,Cal State Bakersfield,Roadrunners,Big West Conference,"Bakersfield,California",CA
20100,Cal State Fullerton,Cal State Fullerton,Titans,Big West Conference,"Fullerton,California",CA
20106,Cal State Northridge,Cal State Northridge,Matadors,Big West Conference,"Northridge,California",CA
20008,California,University of California,Golden Bears,Pacific-12 Conference,"Berkeley,California",CA
20880,Campbell,Campbell University,Fighting Camels,Big South Conference,"Buies Creek,North Carolina",NC
21093,Canisius,Canisius College,Golden Griffins,Metro Atlantic Athletic Conference,"Buffalo,New York",NY
20494,Central Arkansas,University of Central Arkansas,Bears,Southland Conference,"Conway,Arkansas",AR
20108,Central Connecticut State,Central Connecticut State University,Blue Devils,Northeast Conference,"New Britain,Connecticut",CT
20443,Central Florida,University of Central Florida,Knights,American Athletic Conference,"Orlando,Florida",FL
20270,Central Michigan,Central Michigan University,Chippewas,Mid-American Conference,"Mount Pleasant,Michigan",MI
20522,Charleston Southern,Charleston Southern University,Buccaneers,Big South Conference,"Charleston,South Carolina",SC
21388,Chicago State,Chicago State University,Cougars,Western Athletic Conference,"Chicago, Illinois",IL
20357,Cincinnati,University of Cincinnati,Bearcats,American Athletic Conference,"Cincinnati,Ohio",OH
20334,Citadel,The Citadel,Bulldogs,Southern Conference,"Charleston,South Carolina",SC
20089,Clemson,Clemson University,Tigers,Atlantic Coast Conference,"Clemson,South Carolina",SC
20319,Coastal Carolina,Coastal Carolina University,Chanticleers,Sun Belt Conference,"Conway,South Carolina",SC
21014,College of Charleston,College of Charleston,Cougars,Colonial Athletic Association,"Charleston,South Carolina",SC
21931,Columbia,Columbia University,Lions,Ivy League,"New York,New York",NY
20223,Connecticut,University of Connecticut,Huskies,Big East Conference,"Storrs,Connecticut",CT
21094,Coppin State,Coppin State College,Eagles,Mid-Eastern Athletic Conference,"Baltimore,Maryland",MD
20295,Cornell,Cornell University,Big Red,Ivy League,"Ithaca,New York",NY
20115,Creighton,Creighton University,Bluejays,Big East Conference,"Omaha,Nebraska",NE
